N,Time (s),Memory (MB),Passes
10,0.0,3.84,2.0
20,0.0,3.64,3.0
30,0.0,3.84,3.06
40,0.0,3.66,3.05
50,0.0,3.94,3.07
60,0.0,3.95,3.08
70,0.0,3.78,3.1
80,0.0,3.86,3.1
90,0.0,3.88,3.15
100,0.0,3.88,3.15
150,0.0,4.00,3.2
200,0.0,3.86,3.24
250,0.0,3.97,3.26
300,0.0,3.79,3.3
350,0.0,3.91,3.32
400,0.01,4.04,3.31
450,0.01,4.00,3.32
500,0.01,4.12,3.38
600,0.01,4.16,3.38
700,0.02,4.19,3.41
800,0.02,4.16,3.43
900,0.02,4.31,3.46
1000,0.02,4.25,3.49
1200,0.04,4.52,3.52
1400,0.05,4.58,3.58
1600,0.06,4.59,3.57
1800,0.07,4.61,3.59
2000,0.08,4.83,3.61
2500,0.12,4.88,3.67
3000,0.15,5.18,3.66
3500,0.19,5.36,3.7
4000,0.25,5.78,3.74
4500,0.29,6.09,3.74
5000,0.34,6.40,3.73
6000,0.46,6.91,3.77
7000,0.61,7.44,3.8
8000,0.76,7.66,3.82
9000,0.88,8.39,3.85
10000,1.08,8.73,3.85
