N,Time (s),Memory (MB),Passes
10,0.0,3.76,1.0
20,0.0,3.77,1.0
30,0.0,3.86,1.0
40,0.0,3.79,1.0
50,0.0,3.87,1.0
60,0.0,3.87,1.0
70,0.0,3.81,1.0
80,0.0,3.89,1.0
90,0.0,3.70,1.0
100,0.0,3.89,1.0
150,0.0,4.06,1.0
200,0.0,4.03,1.0
250,0.0,4.06,1.0
300,0.0,4.02,1.0
350,0.0,4.05,1.0
400,0.0,4.20,1.0
450,0.0,4.26,1.0
500,0.0,4.26,1.0
600,0.0,4.23,1.0
700,0.01,4.45,1.0
800,0.01,4.52,1.0
900,0.01,4.45,1.0
1000,0.01,4.70,1.0
1200,0.01,4.79,1.0
1400,0.02,4.92,1.0
1600,0.02,5.00,1.0
1800,0.03,5.32,1.0
2000,0.03,5.44,1.0
2500,0.05,6.17,1.0
3000,0.06,6.52,1.0
3500,0.07,7.07,1.0
4000,0.1,7.34,1.0
4500,0.11,8.02,1.0
5000,0.14,8.36,1.0
6000,0.17,10.02,1.0
7000,0.24,10.44,1.0
8000,0.28,12.55,1.0
9000,0.35,12.19,1.0
10000,0.42,13.91,1.0
