N,Time (s),Memory (MB),Passes
10,0.0,3.82,2.0
20,0.0,3.94,2.0
30,0.0,3.85,2.0
40,0.0,3.68,2.0
50,0.0,3.81,2.0
60,0.0,3.90,2.0
70,0.0,3.92,2.0
80,0.0,3.75,2.0
90,0.0,3.96,3.0
100,0.0,3.95,3.0
150,0.0,4.04,3.0
200,0.0,4.11,3.0
250,0.0,4.20,3.0
300,0.0,4.22,3.0
350,0.0,4.23,3.0
400,0.0,4.17,3.0
450,0.01,4.32,3.0
500,0.01,4.51,3.0
600,0.01,4.66,3.0
700,0.01,4.63,3.0
800,0.01,4.82,3.0
900,0.02,4.89,3.0
1000,0.02,5.17,3.0
1200,0.03,5.42,3.0
1400,0.04,5.75,3.0
1600,0.03,6.02,3.0
1800,0.05,6.26,3.0
2000,0.06,6.52,3.0
2500,0.07,7.10,3.0
3000,0.11,7.56,3.0
3500,0.12,8.47,3.0
4000,0.16,9.14,3.0
4500,0.19,9.57,3.0
5000,0.22,10.16,3.0
6000,0.27,11.39,3.0
7000,0.34,12.55,3.0
8000,0.41,13.75,3.0
9000,0.49,15.68,3.0
10000,0.59,16.73,3.04
