N,Time (s),Memory (KB),Passes
10,0.002,10144.0,1.0
20,0.002,10160.0,1.0
30,0.002,10160.0,1.0
40,0.002,10160.0,1.0
50,0.002,10160.0,1.0
60,0.004,10160.0,1.0
70,0.006,10176.0,1.0
80,0.006,10160.0,1.0
90,0.004,10176.0,1.0
100,0.004,10176.0,1.0
150,0.004,10192.0,1.0
200,0.006,10496.0,1.0
250,0.006,10240.0,1.0
300,0.008,10992.0,1.0
350,0.008,10560.0,1.0
400,0.01,10352.0,1.0
450,0.01,10368.0,1.0
500,0.012,10400.0,1.0
600,0.014,10464.0,1.0
700,0.018,10576.0,1.0
800,0.02,10944.0,1.0
900,0.022,10672.0,1.0
1000,0.024,10720.0,1.0
1200,0.032,11392.0,1.0
1400,0.038,11184.0,1.0
1600,0.046,11216.0,1.0
1800,0.054,11456.0,1.0
2000,0.06,11664.0,1.0
2500,0.078,11840.0,1.0
3000,0.102,12800.0,1.0
3500,0.12,12896.0,1.0
4000,0.146,13120.0,1.0
4500,0.168,13776.0,1.0
5000,0.194,14384.0,1.0
6000,0.236,14896.0,1.0
7000,0.292,18320.0,1.0
8000,0.372,18688.0,1.0
9000,0.408,17856.0,1.0
10000,0.476,22096.0,1.0
