N,Time (s),Memory (KB),Passes
10,0.002,10272.0,2.0
20,0.002,10176.0,2.0
30,0.002,10176.0,2.0
40,0.002,10192.0,2.0
50,0.002,10208.0,2.0
60,0.004,10224.0,2.0
70,0.004,10208.0,2.0
80,0.006,10224.0,2.0
90,0.004,10224.0,2.0
100,0.004,10240.0,2.0
150,0.004,10304.0,2.0
200,0.004,10368.0,2.0
250,0.004,10432.0,2.0
300,0.004,10720.0,2.0
350,0.006,10624.0,2.0
400,0.006,10720.0,2.0
450,0.006,10784.0,2.0
500,0.006,10864.0,2.0
600,0.01,11056.0,3.0
700,0.012,11216.0,3.0
800,0.012,11376.0,3.0
900,0.014,11920.0,3.0
1000,0.016,12096.0,3.0
1200,0.018,12464.0,3.0
1400,0.022,13088.0,3.0
1600,0.03,13504.0,3.0
1800,0.028,13008.0,3.0
2000,0.034,13248.0,3.0
2500,0.042,14096.0,3.0
3000,0.05,14944.0,3.0
3500,0.064,19168.0,3.0
4000,0.074,17888.0,3.0
4500,0.084,18848.0,3.0
5000,0.094,18400.0,3.0
6000,0.118,20240.0,3.0
7000,0.142,23232.0,3.0
8000,0.172,22912.0,3.0
9000,0.208,29008.0,3.0
10000,0.226,37664.0,3.0
