N,Time (s),Memory (KB),Passes
10,0.002,10144.0,2.0
20,0.004,10160.0,3.0
30,0.004,10160.0,3.2
40,0.004,10160.0,3.0
50,0.004,10160.0,3.2
60,0.006,10160.0,3.2
70,0.004,10176.0,3.2
80,0.004,10176.0,3.2
90,0.004,10176.0,3.2
100,0.004,10176.0,3.0
150,0.006,10192.0,3.4
200,0.008,10208.0,3.0
250,0.01,10224.0,3.0
300,0.012,10240.0,3.4
350,0.014,10384.0,3.0
400,0.018,10320.0,3.4
450,0.02,10304.0,3.2
500,0.024,10752.0,3.4
600,0.03,10368.0,3.2
700,0.038,11232.0,3.2
800,0.046,11120.0,3.4
900,0.06,11168.0,3.6
1000,0.07,11616.0,3.6
1200,0.086,11728.0,3.2
1400,0.106,12416.0,3.6
1600,0.128,12496.0,3.4
1800,0.148,12048.0,3.2
2000,0.176,11616.0,3.4
2500,0.252,13008.0,3.4
3000,0.338,12544.0,3.8
3500,0.454,11936.0,3.8
4000,0.52,13200.0,3.8
4500,0.624,13456.0,3.8
5000,0.716,14832.0,3.6
6000,0.96,13312.0,3.8
7000,1.222,14032.0,3.8
8000,1.524,14656.0,4.0
9000,1.822,17232.0,4.0
10000,2.126,15600.0,4.0
