N,Time (s),Memory (KB),Passes
10,0.002,10144.0,1.0
20,0.004,10160.0,1.0
30,0.004,10160.0,1.0
40,0.004,10160.0,1.0
50,0.004,10160.0,1.0
60,0.004,10496.0,1.0
70,0.004,10176.0,1.0
80,0.004,10160.0,1.0
90,0.004,10176.0,1.0
100,0.004,10176.0,1.0
150,0.004,10192.0,1.0
200,0.006,10224.0,1.0
250,0.008,10240.0,1.0
300,0.01,10320.0,1.0
350,0.012,10512.0,1.0
400,0.012,10848.0,1.0
450,0.014,10576.0,1.0
500,0.016,10400.0,1.0
600,0.02,10896.0,1.0
700,0.026,10576.0,1.0
800,0.034,11520.0,1.0
900,0.036,11360.0,1.0
1000,0.04,11424.0,1.0
1200,0.054,11872.0,1.0
1400,0.066,11216.0,1.0
1600,0.108,11840.0,1.0
1800,0.1,12400.0,1.0
2000,0.116,12528.0,1.0
2500,0.156,12880.0,1.0
3000,0.202,13552.0,1.0
3500,0.254,14064.0,1.0
4000,0.304,14784.0,1.0
4500,0.356,14816.0,1.0
5000,0.416,15184.0,1.0
6000,0.542,16288.0,1.0
7000,0.674,15664.0,1.0
8000,0.868,17840.0,1.0
9000,0.994,21248.0,1.0
10000,1.144,20640.0,1.0
