N,Time (s),Memory (KB),Passes
10,0.01,10192.0,2.0
20,0.01,10160.0,3.0
30,0.01,10160.0,3.0
40,0.01,10160.0,3.0
50,0.01,10160.0,3.0
60,0.01,10160.0,3.0
70,0.01,10144.0,4.0
80,0.01,10160.0,3.0
90,0.01,10176.0,3.0
100,0.01,10176.0,3.0
150,0.02,10176.0,3.0
200,0.02,10192.0,3.0
250,0.02,10192.0,3.0
300,0.02,10224.0,3.0
350,0.03,10240.0,4.0
400,0.03,10256.0,3.0
450,0.03,10288.0,3.0
500,0.04,10288.0,4.0
600,0.04,10304.0,4.0
700,0.05,10368.0,3.0
800,0.05,10384.0,3.0
900,0.07,10448.0,4.0
1000,0.07,10496.0,4.0
1200,0.09,10576.0,4.0
1400,0.11,10720.0,3.0
1600,0.13,10784.0,3.0
1800,0.18,10848.0,5.0
2000,0.2,10912.0,4.0
2500,0.25,11200.0,3.0
3000,0.32,11408.0,3.0
3500,0.4,11664.0,3.0
4000,0.5,11952.0,3.0
4500,0.59,12224.0,3.0
5000,0.76,12384.0,4.0
6000,1.02,12848.0,4.0
7000,1.17,13360.0,3.0
8000,1.79,12592.0,4.0
9000,1.88,14384.0,4.0
10000,2.41,13424.0,4.0
