N,Time (s),Memory (KB),Passes
10,0.0,3904.0,2.0
20,0.0,4024.0,2.0
30,0.0,3944.0,2.0
40,0.0,3764.0,2.0
50,0.0,3900.0,2.0
60,0.0,3992.0,2.0
70,0.0,4008.0,2.0
80,0.0,3828.0,2.0
90,0.0,4052.0,3.0
100,0.0,4044.0,3.0
150,0.0,4132.0,3.0
200,0.0,4200.0,3.0
250,0.0,4292.0,3.0
300,0.0,4320.0,3.0
350,0.0,4324.0,3.0
400,0.0,4268.0,3.0
450,0.01,4424.0,3.0
500,0.01,4620.0,3.0
600,0.01,4780.0,3.0
700,0.01,4740.0,3.0
800,0.01,4932.0,3.0
900,0.02,5012.0,3.0
1000,0.02,5288.0,3.0
1200,0.03,5544.0,3.0
1400,0.04,5880.0,3.0
1600,0.03,6148.0,3.0
1800,0.05,6396.0,3.0
2000,0.06,6672.0,3.0
2500,0.07,7264.0,3.0
3000,0.11,7732.0,3.0
3500,0.12,8664.0,3.0
4000,0.16,9352.0,3.0
4500,0.19,9784.0,3.0
5000,0.22,10432.0,3.0
6000,0.27,11628.0,3.0
7000,0.34,13016.0,3.0
8000,0.41,14360.0,3.0
9000,0.49,16036.0,3.0
10000,0.59,17112.0,3.04
