N,Time (s),Memory (KB),Passes
10,0.0,3908.0,1.0
20,0.0,3920.0,1.0
30,0.0,3748.0,1.0
40,0.0,3956.0,1.0
50,0.0,3780.0,1.0
60,0.0,3984.0,1.0
70,0.0,4000.0,1.0
80,0.0,4036.0,1.0
90,0.0,4084.0,2.0
100,0.0,4156.0,2.0
150,0.0,3940.0,2.0
200,0.0,4128.0,2.0
250,0.0,4208.0,2.0
300,0.0,4360.0,2.0
350,0.0,4280.0,2.0
400,0.0,4468.0,2.0
450,0.0,4548.0,2.0
500,0.0,4636.0,2.0
600,0.01,4768.0,2.0
700,0.01,4844.0,2.0
800,0.01,5144.0,2.0
900,0.01,5116.0,2.0
1000,0.01,5432.0,2.0
1200,0.02,5544.0,2.0
1400,0.02,5828.0,2.0
1600,0.03,6108.0,2.0
1800,0.04,6468.0,2.0
2000,0.04,6564.0,2.0
2500,0.06,7524.0,2.0
3000,0.07,8248.0,2.0
3500,0.09,8884.0,2.0
4000,0.1,9592.0,2.0
4500,0.12,10372.0,2.0
5000,0.16,11132.0,2.0
6000,0.19,12372.0,2.0
7000,0.26,13792.0,2.0
8000,0.29,15280.0,2.0
9000,0.33,16732.0,2.0
10000,0.43,18256.0,2.0
