N,Time (s),Memory (KB),Passes
10,0.0,12196.0,1.0
20,0.0,19048.0,1.0
30,0.0,26004.0,1.0
40,0.0,32824.0,1.0
50,0.0,39916.0,1.0
60,0.0,46512.0,1.0
70,0.0,53528.0,1.0
80,0.0,60172.0,1.0
90,0.0,67040.0,1.0
100,0.0,74000.0,1.0
150,0.0,107784.0,1.0
200,0.0,144448.0,1.0
250,0.0,179508.0,1.0
300,0.0,214612.0,1.0
350,0.0,248652.0,1.0
400,0.0,283448.0,1.0
450,0.0,318988.0,1.0
500,0.0,352628.0,1.0
600,0.0,418592.0,1.0
700,0.0,487724.0,1.0
800,0.0,558148.0,1.0
900,0.0,627992.0,1.0
1000,0.0,699156.0,1.0
1200,0.01,5616.0,2.0
1400,0.01,5984.0,2.0
1600,0.01,6276.0,2.0
1800,0.01,6648.0,2.0
2000,0.01,6744.0,2.0
2500,0.02,7632.0,2.0
3000,0.02,8468.0,2.0
3500,0.02,8708.0,2.0
4000,0.02,9808.0,2.0
4500,0.03,10056.0,2.0
5000,0.03,10840.0,2.0
6000,0.04,12564.0,2.0
7000,0.05,14088.0,2.0
8000,0.05,15288.0,2.0
9000,0.06,16732.0,2.0
10000,0.07,18368.0,2.0
