N,Time (s),Memory (KB),Passes
10,0.0,4016.0,2.0
20,0.0,3904.0,2.0
30,0.0,3812.0,2.0
40,0.0,3888.0,2.0
50,0.0,4016.0,2.0
60,0.0,4068.0,2.0
70,0.0,3864.0,2.0
80,0.0,4044.0,2.0
90,0.0,4064.0,2.0
100,0.0,3896.0,2.0
150,0.0,4108.0,2.0
200,0.0,4168.0,2.0
250,0.0,4200.0,2.0
300,0.0,4380.0,2.0
350,0.0,4228.0,2.0
400,0.0,4512.0,2.0
450,0.0,4588.0,2.0
500,0.0,4616.0,2.0
600,0.0,4744.0,3.0
700,0.01,4852.0,3.0
800,0.01,5012.0,3.0
900,0.0,5136.0,3.0
1000,0.01,5268.0,3.0
1200,0.01,5360.0,3.0
1400,0.01,5792.0,3.0
1600,0.01,6052.0,3.0
1800,0.02,6348.0,3.0
2000,0.02,6608.0,3.0
2500,0.02,7168.0,3.0
3000,0.03,7924.0,3.0
3500,0.03,8556.0,3.0
4000,0.04,9216.0,3.0
4500,0.04,9844.0,3.0
5000,0.04,10456.0,3.0
6000,0.05,11496.0,3.0
7000,0.07,12716.0,3.0
8000,0.08,13936.0,3.0
9000,0.1,15300.0,3.0
10000,0.1,16624.0,3.0
