N,Time (s),Memory (KB),Passes
10,0.0,3908.0,1.0
20,0.0,3960.0,1.0
30,0.0,3956.0,1.0
40,0.0,3852.0,1.0
50,0.0,3988.0,1.0
60,0.0,3904.0,1.0
70,0.0,3872.0,1.0
80,0.0,3828.0,1.0
90,0.0,3924.0,1.0
100,0.0,3896.0,1.0
150,0.0,4016.0,1.0
200,0.0,4008.0,1.0
250,0.0,4088.0,1.0
300,0.0,4024.0,1.0
350,0.0,4140.0,1.0
400,0.0,4136.0,1.0
450,0.0,4204.0,1.0
500,0.0,4072.0,1.0
600,0.01,4268.0,1.0
700,0.01,4384.0,1.0
800,0.01,4384.0,1.0
900,0.01,4512.0,1.0
1000,0.01,4344.0,1.0
1200,0.02,4548.0,1.0
1400,0.02,4660.0,1.0
1600,0.02,4840.0,1.0
1800,0.03,5032.0,1.0
2000,0.03,5248.0,1.0
2500,0.05,5148.0,1.0
3000,0.06,5852.0,1.0
3500,0.08,6316.0,1.0
4000,0.1,6356.0,1.0
4500,0.12,6908.0,1.0
5000,0.15,6840.0,1.0
6000,0.2,7544.0,1.0
7000,0.25,8616.0,1.0
8000,0.3,10004.0,1.0
9000,0.37,10080.0,1.0
10000,0.44,10444.0,1.0
