N,Time (s),Memory (KB),Passes
10,0.0,3992.0,2.0
20,0.0,4012.0,3.0
30,0.0,4016.0,3.04
40,0.0,4012.0,3.07
50,0.0,4048.0,3.1
60,0.0,4024.0,3.12
70,0.0,4036.0,3.15
80,0.0,4028.0,3.17
90,0.0,4008.0,3.2
100,0.0,4184.0,3.22
150,0.0,4072.0,3.32
200,0.0,4100.0,3.39
250,0.0,4104.0,3.45
300,0.0,4000.0,3.51
350,0.0,4172.0,3.55
400,0.0,4224.0,3.59
450,0.0,4148.0,3.63
500,0.0,4268.0,3.65
600,0.0,4120.0,3.7
700,0.01,4376.0,3.74
800,0.01,4472.0,3.78
900,0.01,4484.0,3.8
1000,0.01,4536.0,3.84
1200,0.01,4552.0,3.87
1400,0.02,4680.0,3.89
1600,0.02,4712.0,3.92
1800,0.02,4928.0,3.94
2000,0.02,4972.0,3.95
2500,0.03,5084.0,3.98
3000,0.04,5504.0,4.0
3500,0.05,5968.0,4.01
4000,0.05,5820.0,4.02
4500,0.07,6312.0,4.02
5000,0.07,6328.0,4.03
6000,0.08,7012.0,4.04
7000,0.1,7384.0,4.05
8000,0.12,7636.0,4.06
9000,0.15,8640.0,4.07
10000,0.18,9080.0,4.07
