N,Time (s),Memory (KB),Passes
10,0.0,12012.0,1.0
20,0.0,18896.0,1.0
30,0.0,25932.0,1.0
40,0.0,32912.0,1.0
50,0.0,39848.0,1.0
60,0.0,46556.0,1.0
70,0.0,53396.0,1.0
80,0.0,60088.0,1.0
90,0.0,67040.0,1.0
100,0.0,73880.0,1.0
150,0.0,107584.0,1.0
200,0.0,144320.0,1.0
250,0.0,179504.0,1.0
300,0.0,214392.0,1.0
350,0.0,248376.0,1.0
400,0.0,283320.0,1.0
450,0.0,319104.0,1.0
500,0.0,352508.0,1.0
600,0.0,418464.0,1.0
700,0.0,487536.0,1.0
800,0.0,558180.0,1.0
900,0.0,628052.0,1.0
1000,0.0,698944.0,1.0
1200,0.01,4956.0,1.0
1400,0.01,5252.0,1.0
1600,0.01,5440.0,1.0
1800,0.01,5784.0,1.0
2000,0.01,6048.0,1.0
2500,0.01,6324.0,1.0
3000,0.02,6976.0,1.0
3500,0.03,7440.0,1.0
4000,0.03,8228.0,1.0
4500,0.03,9132.0,1.0
5000,0.04,9268.0,1.0
6000,0.05,10380.0,1.0
7000,0.06,12232.0,1.0
8000,0.08,14048.0,1.0
9000,0.08,14320.0,1.0
10000,0.09,15956.0,1.0
