K,Time (s),Memory (KB),Passes
1,0.53,4148.0,3.0
2,0.53,3148.0,3.0
3,0.52,3108.0,3.0
4,0.53,4148.0,3.0
5,0.52,3108.0,3.0
6,0.53,3160.0,3.0
7,0.53,3108.0,3.0
8,0.53,3108.0,3.0
9,0.54,4180.0,3.0
10,0.52,3116.0,3.0
12,0.52,4192.0,3.0
14,0.53,4176.0,3.0
16,0.52,5212.0,3.0
18,0.52,5192.0,3.0
20,0.54,4132.0,3.0
25,0.53,4132.0,3.0
30,0.54,5208.0,3.0
35,0.54,4180.0,3.0
40,0.54,4168.0,3.0
50,0.53,6192.0,3.0
75,0.53,5240.0,3.0
100,0.52,6180.0,3.0
250,0.52,10276.0,3.0
500,0.51,15524.0,3.0
750,0.5,17960.0,3.0
1000,0.38,19460.0,2.0
2500,0.38,18468.0,2.0
5000,0.39,18468.0,2.0
7500,0.38,19344.0,2.0
10000,0.38,18948.0,2.0
