K,Time (s),Memory (KB),Passes
50,0.57,8308.0,4.4
60,0.56,9252.0,4.35
70,0.47,9248.0,3.65
80,0.44,10276.0,3.43
90,0.44,11300.0,3.4
100,0.42,12352.0,3.23
150,0.44,17480.0,3.2
200,0.42,22584.0,3.0
250,0.45,26660.0,2.98
300,0.48,31780.0,2.93
350,0.51,35908.0,2.83
400,0.52,40996.0,2.7
450,0.54,45156.0,2.51
500,0.5,50212.0,2.01
550,0.52,50272.0,2.0
600,0.52,50212.0,2.0
650,0.52,50212.0,2.0
700,0.51,50212.0,2.0
750,0.5,50212.0,2.0
800,0.52,50212.0,2.0
850,0.53,50248.0,2.0
900,0.52,50292.0,2.0
950,0.52,50288.0,2.0
1000,0.52,50212.0,2.0
