K,Time (s),Memory (KB),Passes
1,5.04,3108.0,40.11
2,2.05,3108.0,16.66
3,1.6,3108.0,12.83
4,1.34,4168.0,10.74
5,1.22,4216.0,9.43
6,1.07,4172.0,8.48
7,0.99,4132.0,7.71
8,0.9,4132.0,7.08
9,0.86,4216.0,6.69
10,0.78,4132.0,6.19
12,0.72,5176.0,5.64
14,0.66,5196.0,5.22
16,0.65,5156.0,5.07
18,0.57,6200.0,4.46
20,0.54,5244.0,4.23
25,0.53,6212.0,4.16
30,0.43,6180.0,3.25
35,0.42,6216.0,3.24
40,0.42,7204.0,3.23
50,0.42,9264.0,3.16
75,0.3,11360.0,2.24
100,0.3,12324.0,2.23
250,0.33,26676.0,1.95
500,0.12,18996.0,1.0
750,0.12,19244.0,1.0
1000,0.12,18860.0,1.0
2500,0.12,18980.0,1.0
5000,0.12,19192.0,1.0
7500,0.12,18860.0,1.0
10000,0.12,19148.0,1.0
