K,Time (s),Memory (KB),Passes
1,0.0,1648.0,2.0
2,0.0,1712.0,2.0
3,0.0,1856.0,2.0
4,0.0,1872.0,2.0
5,0.0,2064.0,2.0
6,0.0,2080.0,2.0
7,0.0,2112.0,2.0
8,0.0,2192.0,2.0
9,0.0,2368.0,2.0
10,0.0,1648.0,1.0
11,0.0,1648.0,1.0
12,0.0,1648.0,1.0
13,0.0,1648.0,1.0
14,0.0,1840.0,1.0
15,0.0,1648.0,1.0
16,0.0,1648.0,1.0
17,0.0,1840.0,1.0
18,0.0,1648.0,1.0
19,0.0,1648.0,1.0
20,0.0,1648.0,1.0
21,0.0,1648.0,1.0
22,0.0,1648.0,1.0
23,0.0,1648.0,1.0
24,0.0,1648.0,1.0
25,0.0,1648.0,1.0
30,0.0,1648.0,1.0
35,0.0,1648.0,1.0
40,0.0,1648.0,1.0
45,0.0,1856.0,1.0
50,0.0,1648.0,1.0
60,0.0,1648.0,1.0
70,0.0,1648.0,1.0
80,0.0,1648.0,1.0
90,0.0,1712.0,1.0
100,0.0,1648.0,1.0
200,0.0,1648.0,1.0
300,0.0,1904.0,1.0
400,0.0,1648.0,1.0
500,0.0,1648.0,1.0
600,0.0,1648.0,1.0
700,0.0,1648.0,1.0
800,0.0,1840.0,1.0
900,0.0,1648.0,1.0
1000,0.0,1648.0,1.0
