K,Time (s),Memory (KB),Passes
50,0.01,5192.0,2.0
60,0.01,4156.0,2.0
70,0.01,5192.0,2.0
80,0.01,4216.0,2.0
90,0.01,4132.0,2.0
100,0.01,5216.0,2.0
150,0.01,4132.0,2.0
200,0.01,5196.0,2.0
250,0.01,5248.0,2.0
300,0.01,5292.0,2.0
350,0.01,5192.0,2.0
400,0.01,5192.0,2.0
450,0.01,5220.0,2.0
500,0.01,5192.0,2.0
550,0.01,4216.0,2.0
600,0.01,5192.0,2.0
650,0.01,5200.0,2.0
700,0.01,5212.0,2.0
750,0.01,5192.0,2.0
800,0.01,5192.0,2.0
850,0.01,5192.0,2.0
900,0.01,5192.0,2.0
950,0.01,5220.0,2.0
1000,0.01,5188.0,2.0
