K,Time (s),Memory (KB),Passes
1,0.03,3184.0,9.76
2,0.01,4196.0,3.96
3,0.01,4168.0,3.0
4,0.01,4192.0,2.83
5,0.01,5188.0,2.19
6,0.01,5220.0,2.17
7,0.01,5188.0,2.08
8,0.01,5188.0,2.0
9,0.01,5192.0,2.0
10,0.0,66632.0,1.0
12,0.0,64548.0,1.0
14,0.0,66660.0,1.0
16,0.0,66740.0,1.0
18,0.0,66648.0,1.0
20,0.0,66632.0,1.0
25,0.0,66648.0,1.0
30,0.0,66656.0,1.0
35,0.0,66660.0,1.0
40,0.0,66660.0,1.0
50,0.0,66656.0,1.0
60,0.0,66632.0,1.0
70,0.0,66632.0,1.0
80,0.0,66632.0,1.0
90,0.0,64548.0,1.0
100,0.0,65572.0,1.0
150,0.0,66660.0,1.0
200,0.0,66680.0,1.0
250,0.0,66628.0,1.0
300,0.0,66632.0,1.0
350,0.0,66648.0,1.0
400,0.0,66632.0,1.0
450,0.0,66676.0,1.0
500,0.0,66636.0,1.0
550,0.0,66632.0,1.0
600,0.0,66632.0,1.0
650,0.0,64596.0,1.0
700,0.0,66632.0,1.0
750,0.0,66632.0,1.0
800,0.0,66648.0,1.0
850,0.0,66628.0,1.0
900,0.0,66628.0,1.0
950,0.0,66724.0,1.0
1000,0.0,66660.0,1.0
