K,Time (s),Memory (KB),Passes
1,0.01,4168.0,3.23
2,0.01,4196.0,3.23
3,0.01,4168.0,3.23
4,0.01,4168.0,3.23
5,0.01,4216.0,3.23
6,0.01,4276.0,3.23
7,0.01,4216.0,3.23
8,0.01,4192.0,3.23
9,0.01,4212.0,3.23
10,0.01,4192.0,3.22
12,0.01,4192.0,3.21
14,0.01,4168.0,3.21
16,0.01,4164.0,3.22
18,0.01,4148.0,3.23
20,0.01,4224.0,3.22
25,0.01,4168.0,3.2
30,0.01,4180.0,3.2
35,0.01,4252.0,3.19
40,0.01,4168.0,3.15
50,0.01,4168.0,3.06
75,0.01,4192.0,2.67
100,0.01,4168.0,2.34
250,0.01,4192.0,2.0
500,0.01,4160.0,2.0
750,0.01,4196.0,2.0
1000,0.01,4196.0,2.0
2500,0.01,4168.0,2.0
5000,0.01,4176.0,2.0
7500,0.01,4168.0,2.0
10000,0.01,3108.0,2.0
