K,Time (s),Memory (KB),Passes
1,0.03,3128.0,2.23
2,0.03,4192.0,2.22
3,0.03,4152.0,2.2
4,0.03,4132.0,2.19
5,0.03,4176.0,2.18
6,0.03,4188.0,2.16
7,0.03,5168.0,2.13
8,0.03,5176.0,2.11
9,0.03,4172.0,2.09
10,0.03,5184.0,2.06
12,0.03,5204.0,2.02
14,0.03,4132.0,2.0
16,0.03,6180.0,2.0
18,0.03,5196.0,2.0
20,0.03,6236.0,2.0
25,0.03,5184.0,1.96
30,0.03,6188.0,1.81
35,0.01,69680.0,1.0
40,0.01,69680.0,1.0
50,0.01,68676.0,1.0
60,0.01,67620.0,1.0
70,0.01,69704.0,1.0
80,0.01,68644.0,1.0
90,0.01,69688.0,1.0
100,0.01,68664.0,1.0
150,0.01,69684.0,1.0
200,0.01,67648.0,1.0
250,0.01,68704.0,1.0
300,0.01,69708.0,1.0
350,0.01,68688.0,1.0
400,0.01,69724.0,1.0
450,0.01,69688.0,1.0
500,0.01,69708.0,1.0
550,0.01,68684.0,1.0
600,0.01,69672.0,1.0
650,0.01,69692.0,1.0
700,0.01,69696.0,1.0
750,0.01,69692.0,1.0
800,0.01,68644.0,1.0
850,0.01,68728.0,1.0
900,0.01,68700.0,1.0
950,0.01,69708.0,1.0
1000,0.01,67620.0,1.0
