K,Time (s),Memory (KB),Passes
1,0.2,3140.0,24.88
2,0.11,3108.0,13.55
3,0.08,3196.0,9.32
4,0.07,4148.0,7.62
5,0.06,4220.0,6.55
6,0.05,5204.0,5.97
7,0.05,5212.0,5.29
8,0.05,5176.0,5.12
9,0.04,5216.0,4.63
10,0.04,5200.0,4.29
12,0.04,5208.0,4.17
14,0.04,5196.0,3.92
16,0.03,6224.0,3.27
18,0.03,6208.0,3.2
20,0.03,5208.0,3.18
25,0.03,5156.0,3.14
30,0.03,7204.0,3.04
35,0.02,6180.0,2.21
40,0.02,6216.0,2.19
50,0.02,7244.0,2.18
60,0.02,7240.0,2.11
70,0.02,6180.0,2.02
80,0.02,7224.0,2.0
90,0.02,6180.0,2.0
100,0.02,7224.0,2.0
150,0.02,6208.0,2.0
200,0.02,6200.0,2.0
250,0.02,7244.0,2.0
300,0.02,7260.0,2.0
350,0.02,6176.0,2.0
400,0.02,7264.0,2.0
450,0.02,6200.0,2.0
500,0.02,7260.0,2.0
550,0.02,7264.0,2.0
600,0.02,6180.0,2.0
650,0.02,7228.0,2.0
700,0.02,7244.0,2.0
750,0.02,7224.0,2.0
800,0.02,6224.0,2.0
850,0.02,7240.0,2.0
900,0.02,6212.0,2.0
950,0.02,6220.0,2.0
1000,0.02,7208.0,2.0
