K,Time (s),Memory (KB),Passes
50,0.04,5172.0,3.38
60,0.04,5180.0,3.38
70,0.03,4136.0,3.33
80,0.03,4144.0,3.21
90,0.03,4196.0,3.13
100,0.03,4156.0,3.07
150,0.03,4148.0,2.73
200,0.03,5180.0,2.33
250,0.03,5196.0,2.25
300,0.02,4196.0,2.04
350,0.02,5196.0,2.0
400,0.02,5200.0,2.0
450,0.02,5176.0,2.0
500,0.02,4132.0,2.0
550,0.02,5216.0,2.0
600,0.02,5160.0,2.0
650,0.02,5176.0,2.0
700,0.02,5192.0,2.0
750,0.02,5188.0,2.0
800,0.02,5188.0,2.0
850,0.02,4204.0,2.0
900,0.02,5160.0,2.0
950,0.02,4148.0,2.0
1000,0.02,4132.0,2.0
