K,Time (s),Memory (KB),Passes
1,655.26,7168.0,46.1
2,67.01,9212.0,4.7
3,57.3,9216.0,4.0
4,44.04,10240.0,3.0
5,41.98,11264.0,3.0
6,44.14,12288.0,3.0
7,43.68,13312.0,3.0
8,44.05,14336.0,3.0
9,42.65,15360.0,3.0
10,43.96,16384.0,3.0
11,43.96,16384.0,3.0
12,40.83,17408.0,2.8
13,42.32,18432.0,2.8
14,33.95,19456.0,2.3
15,30.05,21504.0,2.0
20,29.91,25600.0,2.0
25,30.76,29696.0,2.0
30,29.86,34816.0,2.0
35,28.91,40960.0,2.0
40,30.15,44032.0,2.0
45,28.75,49152.0,2.0
50,30.39,54272.0,2.0
60,31.05,63488.0,2.0
70,30.28,72704.0,2.0
80,30.42,81920.0,2.0
90,30.42,91928.0,2.0
100,30.63,101304.0,2.0
150,30.52,147456.0,2.0
200,31.07,194428.0,2.0
250,32.58,241664.0,2.0
300,33.05,288768.0,2.0
400,32.94,380928.0,2.0
500,35.81,476160.0,2.0
750,39.07,710656.0,2.0
1000,45.61,944116.0,2.0
1500,47.42,1413120.0,2.0
2000,62.82,1881904.0,1.8
2500,54.68,2350080.0,1.7
3000,65.16,2820088.0,1.6
4000,68.75,3757948.0,1.2
5000,15.85,1226816.0,1.0
7500,15.88,1226196.0,1.0
10000,15.59,1225944.0,1.0
