K,Time (s),Memory (KB),Passes
1,2302.73,6144.0,158.0
2,288.89,7168.0,20.0
3,131.06,8192.0,9.0
4,109.93,9216.0,8.0
5,86.42,10240.0,6.0
6,86.46,12288.0,6.0
7,70.55,13312.0,5.0
8,72.35,14336.0,5.0
9,71.46,15360.0,5.0
10,72.16,15360.0,5.0
11,71.51,16384.0,5.0
12,72.66,17408.0,5.0
13,57.62,18432.0,4.0
14,58.02,19456.0,4.0
15,55.43,20480.0,4.0
20,57.7,25600.0,4.0
25,58.08,29696.0,4.0
30,58.09,34816.0,4.0
35,58.56,38912.0,4.0
40,58.56,44032.0,4.0
45,56.9,49152.0,4.0
50,58.89,53248.0,4.0
60,41.93,62464.0,3.0
70,45.09,71680.0,3.0
80,45.14,81920.0,3.0
90,44.99,91136.0,3.0
100,44.03,100352.0,3.0
150,45.21,147456.0,3.0
200,44.63,193536.0,3.0
250,45.08,240640.0,3.0
300,46.01,287744.0,3.0
400,47.39,381952.0,3.0
500,48.69,475136.0,3.0
750,51.23,709632.0,3.0
1000,51.37,944128.0,3.0
1500,59.36,1413120.0,3.0
2000,63.37,1881088.0,3.0
2500,73.14,2350080.0,3.0
3000,74.81,2819072.0,3.0
4000,88.39,3756032.0,3.0
5000,87.16,4694016.0,2.0
7500,86.1,4694016.0,2.0
10000,85.59,4694016.0,2.0
