K,Time (s),Memory (KB),Passes
1,0.58,3072.0,3.0
2,0.58,3072.0,3.0
3,0.59,3072.0,3.0
4,0.58,3072.0,3.0
5,0.59,3072.0,3.0
6,0.59,3072.0,3.0
7,0.6,3072.0,3.0
8,0.58,3072.0,3.0
9,0.58,3072.0,3.0
10,0.59,3072.0,3.0
11,0.58,3072.0,3.0
12,0.6,4096.0,3.0
13,0.62,4096.0,3.0
14,0.59,4096.0,3.0
15,0.59,4096.0,3.0
16,0.59,4096.0,3.0
17,0.6,4096.0,3.0
18,0.59,3072.0,3.0
19,0.61,4096.0,3.0
20,0.58,4096.0,3.0
21,0.59,4096.0,3.0
22,0.62,4096.0,3.0
23,0.62,4096.0,3.0
24,0.62,4096.0,3.0
25,0.6,4096.0,3.0
26,0.6,4096.0,3.0
27,0.62,4096.0,3.0
28,0.62,4096.0,3.0
29,0.63,4096.0,3.0
30,0.62,4096.0,3.0
31,0.62,4096.0,3.0
32,0.6,4096.0,3.0
33,0.61,4096.0,3.0
34,0.59,4096.0,3.0
35,0.6,4096.0,3.0
36,0.6,4096.0,3.0
37,0.59,4096.0,3.0
38,0.6,4096.0,3.0
39,0.6,4096.0,3.0
40,0.59,4096.0,3.0
45,0.6,5120.0,3.0
50,0.59,5120.0,3.0
55,0.62,5120.0,3.0
60,0.6,5120.0,3.0
65,0.61,5120.0,3.0
70,0.6,5120.0,3.0
75,0.6,5120.0,3.0
80,0.6,6144.0,3.0
85,0.59,6144.0,3.0
90,0.58,6144.0,3.0
95,0.59,6144.0,3.0
100,0.58,6144.0,3.0
150,0.59,7168.0,3.0
200,0.63,9216.0,3.0
250,0.69,9956.0,3.0
300,0.71,11264.0,3.0
350,0.66,12676.0,3.0
400,0.64,13448.0,3.0
450,0.75,14584.0,3.0
500,0.76,15360.0,3.0
550,0.67,15924.0,3.0
600,0.58,16384.0,3.0
650,0.65,17408.0,3.0
700,0.57,17408.0,3.0
750,0.59,18300.0,3.0
800,0.6,18588.0,3.0
850,0.6,19020.0,3.0
900,0.59,19136.0,3.0
950,0.59,19012.0,3.0
1000,0.44,18432.0,2.0
