K,Time (s),Memory (KB),Passes
1,0.42,3072.0,2.0
2,0.4,3072.0,1.99
3,0.31,3072.0,1.46
4,0.25,4096.0,1.11
5,0.24,4096.0,1.03
6,0.24,4096.0,1.01
7,0.25,3072.0,1.0
8,0.24,4096.0,1.0
9,0.24,4096.0,1.0
10,0.23,4096.0,1.0
11,0.24,3072.0,1.0
12,0.24,4096.0,1.0
13,0.23,4096.0,1.0
14,0.23,4096.0,1.0
15,0.22,4096.0,1.0
16,0.23,4096.0,1.0
17,0.23,4096.0,1.0
18,0.23,3072.0,1.0
19,0.22,4096.0,1.0
20,0.23,4096.0,1.0
21,0.23,4096.0,1.0
22,0.23,3072.0,1.0
23,0.23,3072.0,1.0
24,0.24,4096.0,1.0
25,0.23,3072.0,1.0
26,0.24,4096.0,1.0
27,0.22,3072.0,1.0
28,0.23,4096.0,1.0
29,0.24,3072.0,1.0
30,0.23,4096.0,1.0
31,0.24,4096.0,1.0
32,0.23,4096.0,1.0
33,0.24,4096.0,1.0
34,0.23,4096.0,1.0
35,0.23,4096.0,1.0
36,0.23,4096.0,1.0
37,0.23,3072.0,1.0
38,0.24,4096.0,1.0
39,0.23,4096.0,1.0
40,0.23,4096.0,1.0
45,0.22,3072.0,1.0
50,0.23,4096.0,1.0
55,0.23,4096.0,1.0
60,0.24,4096.0,1.0
65,0.24,4096.0,1.0
70,0.23,4096.0,1.0
75,0.24,4096.0,1.0
80,0.24,4096.0,1.0
85,0.24,4096.0,1.0
90,0.24,4096.0,1.0
95,0.24,4096.0,1.0
100,0.24,4096.0,1.0
150,0.23,4096.0,1.0
200,0.22,4096.0,1.0
250,0.23,4096.0,1.0
300,0.22,4096.0,1.0
350,0.22,4096.0,1.0
400,0.23,4096.0,1.0
450,0.22,4096.0,1.0
500,0.16,19312.0,1.0
550,0.15,19316.0,1.0
600,0.15,19308.0,1.0
650,0.14,19312.0,1.0
700,0.14,19312.0,1.0
750,0.14,19248.0,1.0
800,0.15,19312.0,1.0
850,0.14,19312.0,1.0
900,0.16,19312.0,1.0
950,0.16,19000.0,1.0
1000,0.16,19176.0,1.0
