K,Time (s),Memory (KB),Passes
1,3.61,8576.0,124.39
2,0.35,9252.0,11.95
3,0.13,10256.0,4.0
4,0.13,11308.0,4.0
5,0.1,12772.0,3.0
6,0.09,13308.0,3.0
7,0.09,14232.0,3.0
8,0.1,15356.0,3.0
9,0.1,16368.0,3.0
10,0.1,17060.0,3.0
12,0.12,19120.0,3.0
14,0.12,21044.0,3.0
16,0.08,21276.0,2.0
18,0.09,21280.0,2.0
20,0.08,21372.0,2.0
25,0.08,21220.0,2.0
30,0.08,21436.0,2.0
35,0.08,21372.0,2.0
40,0.09,21296.0,2.0
50,0.09,21404.0,2.0
75,0.08,21224.0,2.0
100,0.08,21272.0,2.0
250,0.08,21416.0,2.0
500,0.09,21420.0,2.0
750,0.08,21404.0,2.0
1000,0.08,21368.0,2.0
2500,0.09,21376.0,2.0
5000,0.08,21360.0,2.0
7500,0.09,21224.0,2.0
10000,0.08,21304.0,2.0
