K,Time (s),Memory (KB),Passes
1,0.14,9600.0,2.34
2,0.12,10260.0,2.0
3,0.15,10688.0,1.99
4,0.14,12152.0,1.62
5,0.11,12588.0,1.17
6,0.1,13196.0,1.01
7,0.1,13444.0,1.0
8,0.1,13428.0,1.0
9,0.11,13492.0,1.0
10,0.1,13464.0,1.0
12,0.11,13528.0,1.0
14,0.03,76376.0,1.0
16,0.03,76468.0,1.0
18,0.03,76284.0,1.0
20,0.03,76508.0,1.0
25,0.03,76464.0,1.0
30,0.04,76476.0,1.0
35,0.04,76620.0,1.0
40,0.04,76464.0,1.0
50,0.04,76476.0,1.0
75,0.03,76284.0,1.0
100,0.03,76624.0,1.0
250,0.04,76284.0,1.0
500,0.03,76476.0,1.0
750,0.04,76312.0,1.0
1000,0.03,76464.0,1.0
2500,0.03,76284.0,1.0
5000,0.03,76388.0,1.0
7500,0.03,76332.0,1.0
10000,0.03,76388.0,1.0
