K,Time (s),Memory (KB),Passes
1,1.34,9584.0,44.6
2,0.1,9844.0,3.0
3,0.06,10816.0,2.0
4,0.07,11944.0,2.0
5,0.06,12732.0,2.0
6,0.06,13824.0,2.0
7,0.07,14884.0,2.0
8,0.07,15692.0,2.0
9,0.08,16624.0,2.0
10,0.08,17488.0,2.0
12,0.08,19584.0,2.0
14,0.04,76428.0,1.0
16,0.04,76312.0,1.0
18,0.04,76416.0,1.0
20,0.03,76468.0,1.0
25,0.03,76508.0,1.0
30,0.03,76376.0,1.0
35,0.03,76476.0,1.0
40,0.03,76376.0,1.0
50,0.03,76448.0,1.0
75,0.04,76508.0,1.0
100,0.04,76456.0,1.0
250,0.03,76464.0,1.0
500,0.03,76508.0,1.0
750,0.03,76392.0,1.0
1000,0.03,76380.0,1.0
2500,0.03,76448.0,1.0
5000,0.03,76512.0,1.0
7500,0.03,76336.0,1.0
10000,0.03,76620.0,1.0
