K,Time (s),Memory (KB),Passes
1,0.02,3072.0,3.84
2,0.02,3072.0,3.84
3,0.02,3072.0,3.84
4,0.02,3072.0,3.84
5,0.02,3072.0,3.83
6,0.02,3072.0,3.81
7,0.02,3072.0,3.8
8,0.02,3072.0,3.79
9,0.02,3072.0,3.8
10,0.02,3072.0,3.81
11,0.02,3072.0,3.81
12,0.02,3072.0,3.81
13,0.02,3072.0,3.79
14,0.02,3072.0,3.78
15,0.02,3072.0,3.76
16,0.02,3072.0,3.77
17,0.02,3072.0,3.77
18,0.02,3072.0,3.77
19,0.02,3072.0,3.77
20,0.02,3072.0,3.76
21,0.02,3072.0,3.76
22,0.02,3072.0,3.75
23,0.02,3072.0,3.75
24,0.02,3072.0,3.75
25,0.02,3072.0,3.76
26,0.02,3072.0,3.76
27,0.02,3072.0,3.76
28,0.02,3072.0,3.76
29,0.02,3072.0,3.76
30,0.02,3072.0,3.77
31,0.02,3072.0,3.78
32,0.02,3072.0,3.78
33,0.02,3072.0,3.78
34,0.02,3072.0,3.78
35,0.02,3072.0,3.79
36,0.02,3072.0,3.79
37,0.02,3072.0,3.79
38,0.02,3072.0,3.78
39,0.02,3072.0,3.78
40,0.02,3072.0,3.78
45,0.02,3072.0,3.79
50,0.02,3072.0,3.81
55,0.02,3072.0,3.81
60,0.02,3072.0,3.82
65,0.02,3072.0,3.81
70,0.02,3072.0,3.85
75,0.02,3072.0,3.84
80,0.02,3072.0,3.82
85,0.02,3072.0,3.83
90,0.02,3072.0,3.83
95,0.02,3072.0,3.83
100,0.02,3072.0,3.84
150,0.02,3072.0,3.83
200,0.02,3072.0,3.84
250,0.02,3072.0,3.84
300,0.02,3072.0,3.87
350,0.02,3072.0,3.83
400,0.02,3072.0,3.86
450,0.02,3072.0,3.23
500,0.01,3072.0,3.0
550,0.01,3072.0,3.0
600,0.01,3072.0,3.0
650,0.01,3072.0,3.0
700,0.01,3072.0,3.0
750,0.01,3072.0,3.0
800,0.01,3072.0,3.0
850,0.01,3072.0,3.0
900,0.01,3072.0,2.39
950,0.01,3072.0,2.0
1000,0.01,3072.0,2.0
