K,Time (s),Memory (KB),Passes
1,1.11,8640.0,3.84
2,1.11,9212.0,3.84
3,1.04,9072.0,3.84
4,1.13,8740.0,3.85
5,1.07,9324.0,3.84
6,1.05,8700.0,3.84
7,1.05,8736.0,3.84
8,1.07,9244.0,3.83
9,1.05,8860.0,3.83
10,1.08,8768.0,3.83
12,1.29,9284.0,3.83
14,1.1,8764.0,3.83
16,1.04,8860.0,3.81
18,1.03,8920.0,3.81
20,1.04,8872.0,3.82
25,1.04,9060.0,3.8
30,1.03,8892.0,3.79
35,1.04,8796.0,3.79
40,1.04,8924.0,3.79
50,1.04,9156.0,3.8
75,1.14,9264.0,3.83
100,1.18,9352.0,3.85
250,1.16,10060.0,3.86
500,1.1,11096.0,3.85
750,1.07,12872.0,3.8
1000,1.08,13940.0,3.74
2500,1.13,21704.0,3.88
5000,0.93,31384.0,3.0
7500,0.98,37112.0,3.0
10000,0.71,38880.0,2.0
