K,Time (s),Memory (KB),Passes
1,1.0,8192.0,2.0
2,0.97,9216.0,2.0
3,0.97,10240.0,2.0
4,0.85,11264.0,1.6
5,0.72,13312.0,1.15
6,0.69,13312.0,1.01
7,0.68,13312.0,1.0
8,0.67,13312.0,1.0
9,0.67,13312.0,1.0
10,0.68,13312.0,1.0
11,0.68,13312.0,1.0
12,0.67,13312.0,1.0
13,0.68,13312.0,1.0
14,0.67,13312.0,1.0
15,0.68,13312.0,1.0
20,0.69,13312.0,1.0
25,0.67,12288.0,1.0
30,0.67,13312.0,1.0
35,0.68,13312.0,1.0
40,0.68,12288.0,1.0
45,0.68,13312.0,1.0
50,0.68,13312.0,1.0
60,0.67,12288.0,1.0
70,0.68,13312.0,1.0
80,0.68,13312.0,1.0
90,0.68,13312.0,1.0
100,0.3,89944.0,1.0
150,0.3,89296.0,1.0
200,0.31,90516.0,1.0
250,0.3,90788.0,1.0
300,0.3,91288.0,1.0
400,0.3,90500.0,1.0
500,0.3,90472.0,1.0
750,0.3,90512.0,1.0
1000,0.3,90468.0,1.0
1500,0.29,90428.0,1.0
2000,0.3,90396.0,1.0
2500,0.31,89460.0,1.0
3000,0.3,89488.0,1.0
4000,0.3,90516.0,1.0
5000,0.3,90464.0,1.0
7500,0.3,90780.0,1.0
10000,0.31,91092.0,1.0
