K,Time (s),Memory (KB),Passes
1,42.87,7168.0,147.07
2,4.62,8192.0,16.4
3,1.77,9216.0,6.28
4,1.44,10240.0,5.0
5,1.17,11264.0,4.0
6,1.17,12288.0,4.0
7,1.14,13312.0,4.0
8,1.15,14336.0,4.0
9,1.14,15360.0,4.0
10,0.89,16384.0,3.03
11,0.89,17408.0,3.0
12,0.86,18432.0,3.0
13,0.89,19456.0,3.0
14,0.88,20480.0,3.0
15,0.94,21504.0,3.0
20,0.91,25600.0,3.0
25,0.94,30720.0,3.0
30,0.99,34816.0,3.0
35,1.03,40716.0,3.0
40,1.05,45056.0,3.0
45,1.1,49712.0,3.0
50,1.16,54272.0,3.0
60,1.26,64512.0,3.0
70,1.34,72704.0,3.0
80,1.43,81920.0,3.0
90,1.52,91136.0,3.0
100,1.64,101376.0,3.0
150,1.37,102516.0,2.0
200,1.34,102276.0,2.0
250,1.32,102280.0,2.0
300,1.34,102280.0,2.0
400,1.3,102276.0,2.0
500,1.33,102280.0,2.0
750,1.37,102280.0,2.0
1000,1.33,102276.0,2.0
1500,1.33,102868.0,2.0
2000,1.33,102276.0,2.0
2500,1.33,102280.0,2.0
3000,1.35,102916.0,2.0
4000,1.31,102272.0,2.0
5000,1.34,102280.0,2.0
7500,1.31,103080.0,2.0
10000,1.33,102280.0,2.0
