K,Time (s),Memory (KB),Passes
1,13.34,8192.0,45.68
2,1.18,9144.0,4.0
3,0.87,9216.0,3.0
4,0.89,11188.0,3.0
5,0.61,11264.0,2.0
6,0.6,12288.0,2.0
7,0.58,13312.0,2.0
8,0.6,14336.0,2.0
9,0.61,15360.0,2.0
10,0.62,16384.0,2.0
11,0.61,17408.0,2.0
12,0.6,18432.0,2.0
13,0.62,19456.0,2.0
14,0.6,20480.0,2.0
15,0.6,21504.0,2.0
20,0.65,25600.0,2.0
25,0.66,30720.0,2.0
30,0.73,35660.0,2.0
35,0.78,39936.0,2.0
40,0.81,45040.0,2.0
45,0.87,49152.0,2.0
50,0.93,54272.0,2.0
60,1.0,63488.0,2.0
70,1.11,72704.0,2.0
80,1.21,81920.0,2.0
90,1.32,91136.0,2.0
100,0.3,90908.0,1.0
150,0.29,91208.0,1.0
200,0.3,90984.0,1.0
250,0.3,90512.0,1.0
300,0.3,90512.0,1.0
400,0.3,91240.0,1.0
500,0.3,90512.0,1.0
750,0.31,90516.0,1.0
1000,0.3,90512.0,1.0
1500,0.3,90780.0,1.0
2000,0.3,90384.0,1.0
2500,0.3,90512.0,1.0
3000,0.3,90512.0,1.0
4000,0.3,90512.0,1.0
5000,0.3,90592.0,1.0
7500,0.29,89960.0,1.0
10000,0.3,91352.0,1.0
