M,Time (s),Memory (KB),Passes
100,0.03,3136.0,1000.0
200,0.06,4176.0,1000.0
300,0.08,3132.0,1000.0
400,0.11,4188.0,1000.0
500,0.13,4180.0,1000.0
600,0.15,4152.0,1000.0
700,0.18,3140.0,1000.0
800,0.21,3104.0,1000.0
900,0.23,3144.0,1000.0
1000,0.26,3188.0,1000.0
2000,0.5,3108.0,1000.0
3000,0.74,3108.0,1000.0
4000,1.0,3108.0,1000.0
5000,1.24,4164.0,1000.0
6000,1.47,3120.0,1000.0
7000,1.74,3108.0,1000.0
8000,2.01,3180.0,1000.0
9000,2.26,3108.0,1000.0
10000,2.46,3108.0,1000.0
11000,2.69,3132.0,1000.0
12000,3.0,3108.0,1000.0
13000,3.18,3132.0,1000.0
14000,3.48,3184.0,1000.0
15000,3.65,3108.0,1000.0
16000,4.0,3108.0,1000.0
17000,4.23,3152.0,1000.0
18000,4.51,3108.0,1000.0
19000,4.72,3196.0,1000.0
20000,4.97,3108.0,1000.0
30000,7.53,3108.0,1000.0
40000,9.99,3192.0,1000.0
50000,12.42,3108.0,1000.0
60000,14.82,3136.0,1000.0
70000,17.22,3132.0,1000.0
80000,19.74,3108.0,1000.0
90000,22.05,3156.0,1000.0
100000,24.03,3136.0,1000.0
200000,48.15,3164.0,1000.0
300000,73.31,3108.0,1000.0
400000,98.1,3168.0,1000.0
