M,Time (s),Memory (KB),Passes
100,0.0,3132.0,5.9
200,0.0,4132.0,15.4
300,0.0,3188.0,20.1
400,0.0,3184.0,21.8
500,0.01,3124.0,24.7
600,0.0,4192.0,26.6
700,0.01,4152.0,28.1
800,0.01,4184.0,30.1
900,0.01,3140.0,30.7
1000,0.01,4184.0,32.4
2000,0.02,4152.0,45.7
3000,0.04,3136.0,51.9
4000,0.07,3144.0,60.6
5000,0.09,4152.0,68.3
6000,0.11,4136.0,73.2
7000,0.14,4152.0,77.9
8000,0.17,4152.0,83.2
9000,0.2,3108.0,88.2
10000,0.24,4172.0,92.6
11000,0.27,3136.0,97.4
12000,0.3,3132.0,101.4
13000,0.35,3160.0,106.5
14000,0.38,3108.0,109.5
15000,0.43,4188.0,114.5
16000,0.48,4188.0,117.8
17000,0.51,3108.0,120.8
18000,0.56,4136.0,125.3
19000,0.61,4144.0,128.3
20000,0.66,4136.0,131.5
30000,1.23,3164.0,163.9
40000,2.26,3124.0,227.6
50000,4.97,5160.0,398.1
60000,8.07,3108.0,542.7
70000,10.7,5212.0,625.7
80000,13.7,5156.0,682.2
90000,16.05,5172.0,715.8
100000,18.38,4172.0,740.7
200000,42.32,5180.0,849.1
300000,69.58,4196.0,908.0
400000,96.63,4128.0,955.5
