M,Time (s),Memory (KB),Passes
100,0.03,3124.0,990.1
200,0.06,3136.0,982.7
300,0.08,3184.0,980.1
400,0.11,4164.0,978.5
500,0.13,3184.0,976.2
600,0.15,4144.0,975.4
700,0.17,4152.0,972.0
800,0.2,3112.0,971.2
900,0.22,3140.0,969.8
1000,0.25,4132.0,968.3
2000,0.47,4148.0,955.3
3000,0.7,4144.0,947.5
4000,0.96,3108.0,942.1
5000,1.15,3120.0,935.2
6000,1.39,3196.0,928.9
7000,1.61,3104.0,923.2
8000,1.83,4200.0,916.4
9000,2.04,3108.0,913.0
10000,2.23,3108.0,906.9
11000,2.47,4152.0,904.4
12000,2.68,3144.0,898.5
13000,2.84,4136.0,894.6
14000,3.08,3108.0,889.7
15000,3.32,4148.0,886.4
16000,3.51,3108.0,881.1
17000,3.73,3192.0,878.7
18000,3.87,3148.0,873.4
19000,4.12,3140.0,869.0
20000,4.28,3164.0,866.9
30000,5.92,3140.0,819.0
40000,7.25,4188.0,736.9
50000,7.68,3108.0,620.1
60000,7.39,4152.0,504.6
70000,7.41,3184.0,426.7
80000,7.32,3108.0,371.0
90000,7.11,3108.0,325.1
100000,7.49,4144.0,295.3
200000,8.06,3140.0,166.6
300000,7.49,4152.0,103.1
400000,4.89,3108.0,50.9
