M,Time (s),Memory (KB),Passes
100,0.0,42020.0,1.0
200,0.0,43044.0,1.0
300,0.0,46136.0,1.0
400,0.0,46136.0,1.0
500,0.0,48164.0,1.0
600,0.0,49228.0,1.0
700,0.0,49252.0,1.0
800,0.0,50228.0,1.0
900,0.0,51256.0,1.0
1000,0.0,52292.0,1.0
2000,0.0,56388.0,1.0
3000,0.0,58440.0,1.0
4000,0.0,61500.0,1.0
5000,0.0,62540.0,1.0
6000,0.01,4176.0,2.0
7000,0.01,5156.0,2.0
8000,0.01,4160.0,2.0
9000,0.01,5176.0,2.0
10000,0.01,5192.0,2.0
11000,0.01,4176.0,2.0
12000,0.01,5156.0,2.0
13000,0.01,5176.0,2.0
14000,0.01,5176.0,2.0
15000,0.01,4184.0,2.0
16000,0.02,4128.0,2.01
17000,0.02,4156.0,2.02
18000,0.02,4188.0,2.03
19000,0.02,5212.0,2.03
20000,0.02,4132.0,2.03
30000,0.03,4168.0,2.13
40000,0.04,4132.0,2.28
50000,0.05,4160.0,2.19
60000,0.05,4132.0,2.09
70000,0.06,4132.0,2.06
80000,0.07,4132.0,2.05
90000,0.08,4132.0,2.04
100000,0.09,4132.0,2.04
200000,0.16,4148.0,2.01
300000,0.24,4128.0,2.0
400000,0.32,4168.0,2.0
