M,Time (s),Memory (KB),Passes
100,0.0,7220.0,1.0
200,0.0,8264.0,1.0
300,0.0,8260.0,1.0
400,0.0,8228.0,1.0
500,0.0,7288.0,1.0
600,0.0,7240.0,1.0
700,0.0,8288.0,1.0
800,0.0,7316.0,1.0
900,0.0,8232.0,1.0
1000,0.0,8240.0,1.0
2000,0.0,9276.0,1.0
3000,0.0,8344.0,1.0
4000,0.0,8228.0,1.0
5000,0.0,9264.0,1.0
6000,0.0,9264.0,1.0
7000,0.0,9364.0,1.0
8000,0.0,10320.0,1.0
9000,0.0,10292.0,1.0
10000,0.0,10300.0,1.0
11000,0.01,5212.0,2.0
12000,0.01,5196.0,2.0
13000,0.01,5176.0,2.0
14000,0.01,4156.0,2.0
15000,0.02,4144.0,2.0
16000,0.02,5160.0,2.0
17000,0.02,5160.0,2.0
18000,0.02,5160.0,2.0
19000,0.02,4164.0,2.0
20000,0.02,4196.0,2.0
30000,0.03,5204.0,2.02
40000,0.04,5220.0,2.32
50000,0.06,5196.0,2.66
60000,0.07,4132.0,2.7
70000,0.08,4160.0,2.63
80000,0.08,5188.0,2.58
90000,0.1,5180.0,2.55
100000,0.1,5196.0,2.43
200000,0.18,4128.0,2.1
300000,0.26,4132.0,2.05
400000,0.33,4132.0,2.0
