M,Time (s),Memory (KB),Passes
100,0.0,4144.0,1.0
200,0.0,4152.0,1.0
300,0.0,4172.0,1.0
400,0.0,3168.0,1.0
500,0.0,4172.0,1.0
600,0.0,4172.0,1.0
700,0.0,3144.0,1.0
800,0.0,3148.0,1.0
900,0.0,4136.0,1.0
1000,0.0,4192.0,1.0
2000,0.0,4152.0,1.0
3000,0.0,3128.0,1.0
4000,0.0,4148.0,1.0
5000,0.0,3188.0,1.0
6000,0.01,4160.0,2.1
7000,0.01,4188.0,2.3
8000,0.01,5176.0,2.3
9000,0.01,5156.0,2.3
10000,0.01,4216.0,2.3
11000,0.01,5176.0,2.5
12000,0.01,5176.0,2.9
13000,0.01,5180.0,2.9
14000,0.01,5176.0,3.0
15000,0.02,5188.0,3.0
16000,0.02,5212.0,3.0
17000,0.02,5168.0,3.0
18000,0.02,4208.0,3.0
19000,0.02,5208.0,3.0
20000,0.02,4168.0,3.3
30000,0.04,5208.0,4.5
40000,0.06,5204.0,5.2
50000,0.08,4180.0,6.0
60000,0.1,4176.0,6.4
70000,0.13,5200.0,6.7
80000,0.15,5168.0,7.0
90000,0.17,5176.0,7.0
100000,0.19,5180.0,7.2
200000,0.42,5172.0,8.1
300000,0.68,5188.0,8.5
400000,0.99,4132.0,9.0
