M,Time (s),Memory (KB),Passes
100,0.21,6664.0,2.0
500,0.17,6948.0,2.0
1000,0.18,6852.0,2.0
2500,0.16,7192.0,2.0
5000,0.1,7152.0,2.0
7500,0.06,8272.0,2.0
10000,0.04,8844.0,2.0
15000,0.02,9560.0,2.0
20000,0.02,10304.0,2.0
25000,0.02,10924.0,2.0
30000,0.02,11456.0,2.0
40000,0.03,12612.0,2.0
50000,0.04,13480.0,2.0
75000,0.05,15796.0,2.0
100000,0.08,17336.0,3.0
200000,0.14,17128.0,3.0
300000,0.19,17300.0,3.0
400000,0.24,17260.0,3.0
500000,0.29,17272.0,3.0
750000,0.58,17348.0,3.0
1000000,0.66,17212.0,3.04
2500000,2.1,17232.0,4.0
5000000,3.85,17180.0,4.0
7500000,5.83,17112.0,4.0
10000000,7.2,17224.0,4.0
25000000,23.06,17180.0,4.95
49995000,46.13,16956.0,4.95
