M,Time (s),Memory (KB),Passes
100,0.0,40292.0,1.0
500,0.0,40836.0,1.0
1000,0.0,42168.0,1.0
2500,0.0,46176.0,1.0
5000,0.0,54060.0,1.0
7500,0.0,61876.0,1.0
10000,0.0,66516.0,1.0
15000,0.0,70560.0,1.0
20000,0.01,72008.0,1.0
25000,0.01,73612.0,1.0
30000,0.01,74616.0,1.0
40000,0.01,75852.0,1.0
50000,0.01,76932.0,1.0
75000,0.02,76752.0,1.0
100000,0.02,77156.0,1.0
200000,0.1,17580.0,2.0
300000,0.13,17684.0,2.0
400000,0.17,17504.0,2.0
500000,0.25,17588.0,2.0
750000,0.36,17672.0,2.0
1000000,0.47,17716.0,2.0
2500000,0.96,17676.0,2.0
5000000,1.92,17628.0,2.0
7500000,2.71,17468.0,2.0
10000000,3.64,17488.0,2.0
25000000,13.94,17544.0,2.99
49995000,27.65,17544.0,2.99
