M,Time (s),Memory (KB),Passes
100,0.0,3072.0,2.0
200,0.0,3072.0,2.0
300,0.0,3072.0,2.0
400,0.0,3072.0,2.01
500,0.0,3072.0,2.17
600,0.0,3072.0,3.02
700,0.0,3072.0,3.48
800,0.0,3072.0,3.77
900,0.0,3072.0,3.88
1000,0.0,3072.0,3.91
2000,0.0,3072.0,3.98
3000,0.01,3072.0,3.96
4000,0.01,3072.0,3.95
5000,0.01,3072.0,3.93
6000,0.01,3072.0,3.84
7000,0.01,3072.0,3.87
8000,0.01,3072.0,3.86
9000,0.02,3072.0,3.84
10000,0.02,3072.0,3.79
11000,0.02,3072.0,3.78
12000,0.02,3072.0,3.73
13000,0.02,3072.0,3.76
14000,0.02,3072.0,3.73
15000,0.02,3072.0,3.72
16000,0.02,3072.0,3.69
17000,0.03,3072.0,3.61
18000,0.03,3072.0,3.59
19000,0.03,3072.0,3.58
20000,0.03,3072.0,3.55
30000,0.04,3072.0,3.47
40000,0.05,3072.0,3.3
50000,0.07,3072.0,3.25
60000,0.08,3072.0,3.31
70000,0.09,3072.0,3.28
80000,0.1,3072.0,3.22
90000,0.11,3072.0,3.15
100000,0.13,3072.0,3.22
200000,0.25,3072.0,3.1
300000,0.36,3072.0,3.0
400000,0.47,3072.0,3.0
499500,0.58,3072.0,3.0
