M,Time (s),Memory (KB),Passes
100,0.0,6144.0,1.0
200,0.0,7168.0,1.0
300,0.0,7168.0,1.0
400,0.0,7168.0,1.0
500,0.0,8192.0,1.0
600,0.0,8192.0,1.0
700,0.0,8192.0,1.0
800,0.0,8192.0,1.0
900,0.0,9216.0,1.0
1000,0.0,9216.0,1.0
2000,0.0,9216.0,1.0
3000,0.0,3072.0,1.8
4000,0.01,3072.0,1.98
5000,0.01,3072.0,1.99
6000,0.01,3072.0,1.99
7000,0.01,3072.0,1.99
8000,0.01,3072.0,1.99
9000,0.01,3072.0,1.99
10000,0.01,3072.0,1.99
11000,0.01,3072.0,1.99
12000,0.01,3072.0,1.99
13000,0.01,3072.0,1.99
14000,0.01,3072.0,1.99
15000,0.01,3072.0,1.99
16000,0.02,3072.0,1.99
17000,0.02,3072.0,1.99
18000,0.02,3072.0,1.99
19000,0.02,3072.0,1.99
20000,0.02,3072.0,1.99
30000,0.03,3072.0,1.99
40000,0.03,3072.0,1.99
50000,0.04,3072.0,1.99
60000,0.05,3072.0,1.99
70000,0.06,3072.0,1.99
80000,0.06,3072.0,1.99
90000,0.07,3072.0,1.99
100000,0.08,3072.0,1.99
200000,0.16,3072.0,1.99
300000,0.23,3072.0,1.99
400000,0.31,3072.0,1.99
499500,0.38,3072.0,1.99
