M,Time (s),Memory (KB),Passes
1000,0.29,7168.0,2.0
2000,0.24,6144.0,2.02
3000,0.25,7168.0,2.06
4000,0.19,7168.0,2.28
5000,0.15,7168.0,2.93
6000,0.14,8192.0,4.11
7000,0.13,8192.0,4.54
8000,0.12,8192.0,5.22
9000,0.12,8192.0,5.39
10000,0.11,8660.0,5.62
12500,0.11,8912.0,6.31
15000,0.1,8192.0,6.53
17500,0.1,9144.0,7.0
20000,0.11,9064.0,7.36
22500,0.11,8192.0,7.56
25000,0.11,9104.0,7.82
30000,0.12,9108.0,8.36
40000,0.14,9116.0,8.93
50000,0.16,9216.0,9.41
60000,0.19,9216.0,9.91
70000,0.22,9216.0,10.2
80000,0.25,9216.0,10.59
90000,0.29,8192.0,10.93
100000,0.32,9216.0,11.09
200000,0.7,9216.0,12.9
300000,1.08,9216.0,13.89
400000,1.48,8192.0,14.54
500000,1.92,8192.0,14.99
600000,2.33,9216.0,15.34
700000,2.76,9216.0,15.65
800000,3.22,9216.0,15.99
900000,3.71,9216.0,16.32
1000000,4.1,9216.0,16.4
2000000,8.95,8192.0,17.9
4000000,19.12,9216.0,18.86
6000000,28.84,9216.0,19.36
8000000,39.52,9216.0,19.75
10000000,49.66,8192.0,19.98
15000000,77.13,8192.0,20.31
20000000,102.13,9216.0,20.61
25000000,127.63,9216.0,20.69
30000000,157.48,9216.0,20.7
35000000,180.06,9216.0,20.7
40000000,205.68,8192.0,20.7
49995000,258.8,9216.0,20.7
