M,Time (s),Memory (KB),Passes
1000,0.0,40960.0,1.0
2000,0.0,44032.0,1.0
3000,0.0,46080.0,1.0
4000,0.0,49152.0,1.0
5000,0.0,53248.0,1.0
6000,0.0,56320.0,1.0
7000,0.0,59392.0,1.0
8000,0.0,62464.0,1.0
9000,0.0,63488.0,1.0
10000,0.01,65536.0,1.0
12500,0.01,67584.0,1.0
15000,0.01,69632.0,1.0
17500,0.01,70656.0,1.0
20000,0.01,70656.0,1.0
22500,0.01,71680.0,1.0
25000,0.01,72704.0,1.0
30000,0.01,73728.0,1.0
40000,0.02,74752.0,1.0
50000,0.02,75776.0,1.0
60000,0.06,12096.0,2.0
70000,0.06,12096.0,2.0
80000,0.07,12092.0,2.0
90000,0.07,12096.0,2.0
100000,0.08,12092.0,2.0
200000,0.14,12092.0,2.0
300000,0.19,12092.0,2.0
400000,0.25,11264.0,2.0
500000,0.31,10240.0,2.0
600000,0.36,11264.0,2.0
700000,0.44,11264.0,2.0
800000,0.48,11264.0,2.0
900000,0.53,11264.0,2.0
1000000,0.63,11264.0,2.0
2000000,1.77,11264.0,3.0
4000000,3.39,11264.0,3.0
6000000,5.27,11264.0,3.0
8000000,6.78,11264.0,3.0
10000000,9.01,11264.0,3.0
15000000,12.64,11264.0,3.0
20000000,16.9,11264.0,3.0
25000000,21.85,11264.0,3.0
30000000,26.61,11264.0,3.0
35000000,33.76,11264.0,3.0
40000000,35.47,11264.0,3.0
49995000,46.14,11264.0,3.0
