M,Time (s),Memory (KB),Passes
100,0.2,6848.0,2.0
500,0.17,6924.0,2.0
1000,0.18,6828.0,2.0
2500,0.15,7116.0,2.04
5000,0.11,7020.0,2.86
7500,0.08,8104.0,4.99
10000,0.07,8680.0,5.74
15000,0.07,8984.0,6.74
20000,0.07,9076.0,7.29
25000,0.07,9108.0,7.86
30000,0.08,9208.0,8.17
40000,0.1,9256.0,9.1
50000,0.12,9176.0,9.46
75000,0.18,9580.0,10.39
100000,0.23,9272.0,11.11
200000,0.55,9136.0,12.93
300000,0.87,9248.0,13.89
400000,1.15,9256.0,14.51
500000,1.38,9252.0,15.05
750000,2.29,9168.0,15.97
1000000,3.23,9144.0,16.47
2500000,8.44,9144.0,18.26
5000000,18.62,9240.0,19.29
7500000,26.75,9152.0,19.81
10000000,37.95,9160.0,20.02
25000000,96.94,9216.0,20.74
49995000,193.9,9160.0,20.87
