M,Time (s),Memory (KB),Passes
1000,0.0,40960.0,1.0
2000,0.0,44032.0,1.0
3000,0.0,46080.0,1.0
4000,0.0,49152.0,1.0
5000,0.0,52224.0,1.0
6000,0.0,56320.0,1.0
7000,0.0,59392.0,1.0
8000,0.0,62464.0,1.0
9000,0.0,63488.0,1.0
10000,0.01,65536.0,1.0
12500,0.01,67584.0,1.0
15000,0.01,69632.0,1.0
17500,0.01,70656.0,1.0
20000,0.01,70656.0,1.0
22500,0.01,71680.0,1.0
25000,0.01,72704.0,1.0
30000,0.01,73728.0,1.0
40000,0.02,74752.0,1.0
50000,0.02,75776.0,1.0
60000,0.02,74752.0,1.0
70000,0.03,74752.0,1.0
80000,0.03,75776.0,1.0
90000,0.03,75776.0,1.0
100000,0.03,75776.0,1.0
200000,0.15,16384.0,2.0
300000,0.2,16384.0,2.0
400000,0.26,16384.0,2.0
500000,0.32,16384.0,2.0
600000,0.39,16384.0,2.0
700000,0.43,16384.0,2.0
800000,0.5,16384.0,2.0
900000,0.57,16384.0,2.0
1000000,0.61,16384.0,2.0
2000000,1.23,16384.0,2.0
4000000,2.41,16384.0,2.0
6000000,3.54,16384.0,2.0
8000000,4.86,16384.0,2.0
10000000,5.82,16384.0,2.0
15000000,12.94,16384.0,2.99
20000000,16.79,16384.0,2.99
25000000,21.66,16384.0,2.99
30000000,25.86,16384.0,2.99
35000000,32.18,15360.0,2.99
40000000,41.53,15360.0,2.99
49995000,47.26,15360.0,2.99
