N,Time (s),Memory (KB),Passes
10,0.0,4192.0,9.1
20,0.0,4196.0,14.47
30,0.0,4196.0,18.71
40,0.0,4168.0,22.41
50,0.0,4168.0,25.77
60,0.0,3220.0,28.87
70,0.0,4168.0,31.54
80,0.0,4168.0,34.17
90,0.01,4192.0,36.73
100,0.01,4184.0,39.06
150,0.01,4176.0,48.39
200,0.02,4192.0,55.55
250,0.03,3108.0,60.77
300,0.04,4268.0,64.84
350,0.05,3108.0,66.44
400,0.06,4196.0,67.86
450,0.07,3108.0,69.13
500,0.08,4164.0,69.45
550,0.09,3104.0,73.37
600,0.1,4188.0,72.59
650,0.11,3104.0,73.56
700,0.12,3140.0,73.04
750,0.13,3108.0,73.21
800,0.14,3108.0,71.87
850,0.15,3108.0,73.95
900,0.16,3108.0,72.08
950,0.18,3136.0,73.08
1000,0.18,3108.0,71.42
