N,Time (s),Memory (KB),Passes
10,0.0,4196.0,3.0
20,0.0,4168.0,3.0
30,0.0,4168.0,3.01
40,0.0,4196.0,3.02
50,0.0,4168.0,3.03
60,0.0,4168.0,3.03
70,0.0,4168.0,3.04
80,0.0,4168.0,3.04
90,0.0,4168.0,3.04
100,0.0,4168.0,3.05
150,0.0,4164.0,3.1
200,0.0,4168.0,3.1
250,0.0,4196.0,3.1
300,0.0,4196.0,3.14
350,0.0,4164.0,3.18
400,0.0,4164.0,3.18
450,0.0,4168.0,3.19
500,0.01,4168.0,3.19
550,0.01,4196.0,3.21
600,0.01,4168.0,3.23
650,0.01,4168.0,3.21
700,0.01,4164.0,3.2
750,0.01,4168.0,3.19
800,0.01,4168.0,3.23
850,0.01,4188.0,3.22
900,0.01,3140.0,3.22
950,0.01,4168.0,3.25
1000,0.01,4168.0,3.25
