N,Time (s),Memory (KB),Passes
10,0.0,4196.0,2.0
20,0.0,4188.0,2.99
30,0.0,4164.0,3.0
40,0.0,4196.0,3.0
50,0.0,4168.0,3.0
60,0.0,4196.0,3.0
70,0.0,4168.0,3.01
80,0.0,4164.0,3.03
90,0.0,4216.0,3.1
100,0.0,4196.0,3.15
150,0.0,4168.0,3.52
200,0.0,4168.0,3.61
250,0.0,4168.0,3.61
300,0.0,4172.0,3.61
350,0.0,4252.0,3.65
400,0.0,3184.0,3.66
450,0.0,4196.0,3.64
500,0.01,4196.0,3.64
550,0.01,3108.0,3.68
600,0.01,4196.0,3.65
650,0.01,4180.0,3.66
700,0.01,3104.0,3.64
750,0.01,3108.0,3.64
800,0.01,4168.0,3.61
850,0.01,4168.0,3.69
900,0.01,4168.0,3.63
950,0.01,3104.0,3.63
1000,0.01,4220.0,3.64
