N,Time (s),Memory (KB),Passes
10,0.0,5192.0,1.0
20,0.0,5192.0,1.0
30,0.0,6260.0,1.0
40,0.0,4168.0,2.0
50,0.0,4196.0,2.0
60,0.0,4192.0,2.0
70,0.0,4168.0,2.0
80,0.0,4200.0,2.0
90,0.0,3192.0,2.0
100,0.0,3104.0,2.0
150,0.0,4180.0,2.0
200,0.0,4192.0,2.01
250,0.0,4216.0,2.07
300,0.0,4192.0,2.19
350,0.0,4168.0,2.27
400,0.0,4176.0,2.31
450,0.0,4164.0,2.32
500,0.0,4184.0,2.33
550,0.0,4196.0,2.34
600,0.01,3108.0,2.31
650,0.01,4168.0,2.31
700,0.01,3108.0,2.27
750,0.01,4224.0,2.27
800,0.01,4168.0,2.23
850,0.01,4264.0,2.24
900,0.01,3108.0,2.21
950,0.01,5188.0,2.21
1000,0.01,5220.0,2.19
