N,Time (s),Memory (KB),Passes
10,0.0,4164.0,10.0
20,0.0,4168.0,20.0
30,0.0,4196.0,30.0
40,0.0,4168.0,40.0
50,0.0,4168.0,50.0
60,0.01,4168.0,60.0
70,0.01,4196.0,70.0
80,0.01,4168.0,80.0
90,0.01,4196.0,90.0
100,0.02,4168.0,100.0
150,0.04,4236.0,150.0
200,0.08,3128.0,200.0
250,0.12,3104.0,250.0
300,0.19,3108.0,300.0
350,0.26,3156.0,350.0
400,0.35,3108.0,400.0
450,0.44,3120.0,450.0
500,0.56,3176.0,500.0
550,0.69,3176.0,550.0
600,0.82,3108.0,600.0
650,0.99,3108.0,650.0
700,1.16,3104.0,700.0
750,1.35,3188.0,750.0
800,1.54,3172.0,800.0
850,1.72,3108.0,850.0
900,1.97,3108.0,900.0
950,2.23,3108.0,950.0
1000,2.48,3120.0,1000.0
