N,Time (s),Memory (KB),Passes
10,0.0,3136.0,2.0
20,0.0,4156.0,2.99
30,0.0,4152.0,3.0
40,0.0,3140.0,3.0
50,0.0,4184.0,3.0
60,0.0,4184.0,3.07
70,0.0,4184.0,3.3
80,0.0,4164.0,3.55
90,0.0,3120.0,3.77
100,0.0,3168.0,3.88
150,0.0,4200.0,4.05
200,0.0,4192.0,4.47
250,0.01,3144.0,4.59
300,0.01,3108.0,4.73
350,0.01,4188.0,4.95
400,0.01,3132.0,5.14
450,0.01,3124.0,5.26
500,0.02,4160.0,5.38
550,0.02,3184.0,5.5
600,0.02,3108.0,5.58
650,0.03,3184.0,5.73
700,0.03,3108.0,5.92
750,0.03,3172.0,6.06
800,0.04,3104.0,6.17
850,0.04,3108.0,6.28
900,0.05,4172.0,6.31
950,0.05,4132.0,6.4
1000,0.06,4132.0,6.55
