N,Time (s),Memory (KB),Passes
10,0.0,4144.0,10.0
20,0.0,3144.0,20.0
30,0.0,3136.0,30.0
40,0.0,3140.0,40.0
50,0.0,4152.0,50.0
60,0.01,4176.0,60.0
70,0.01,4184.0,70.0
80,0.01,4188.0,80.0
90,0.02,3168.0,90.0
100,0.02,4180.0,100.0
150,0.07,3148.0,150.0
200,0.14,4172.0,200.0
250,0.25,3196.0,250.0
300,0.39,3108.0,300.0
350,0.57,3108.0,350.0
400,0.8,3168.0,400.0
450,1.07,3108.0,450.0
500,1.4,3108.0,500.0
550,1.75,3108.0,550.0
600,2.18,3108.0,600.0
650,2.68,3108.0,650.0
700,3.23,3148.0,700.0
750,3.82,3108.0,750.0
800,4.45,4156.0,800.0
850,5.23,3108.0,850.0
900,5.92,3132.0,900.0
950,6.86,3132.0,950.0
1000,7.75,3104.0,1000.0
