N,Time (s),Memory (KB),Passes
10,0.0,4196.0,3.2
20,0.0,4172.0,8.48
30,0.0,4164.0,14.53
40,0.0,4168.0,21.19
50,0.0,4224.0,28.06
60,0.0,4164.0,35.17
70,0.0,4164.0,42.67
80,0.01,4276.0,50.13
90,0.01,4176.0,57.86
100,0.01,4168.0,65.61
150,0.03,4168.0,106.49
200,0.06,3108.0,149.27
250,0.1,3108.0,193.43
300,0.15,3136.0,239.03
350,0.21,3108.0,286.5
400,0.29,3108.0,334.47
450,0.38,3128.0,383.15
500,0.48,3140.0,432.46
550,0.6,3108.0,478.42
600,0.73,3120.0,528.93
650,0.88,3108.0,578.09
700,1.04,3144.0,628.16
750,1.2,3120.0,677.61
800,1.41,3108.0,728.85
850,1.59,3144.0,776.83
900,1.85,3180.0,828.35
950,2.06,3152.0,877.61
1000,2.27,3136.0,928.91
