N,Time (s),Memory (KB),Passes
10,0.0,4180.0,9.3
20,0.0,4184.0,14.8
30,0.0,4208.0,18.1
40,0.0,4176.0,22.5
50,0.0,4168.0,25.4
60,0.0,4168.0,27.8
70,0.0,4196.0,31.7
80,0.0,4168.0,32.1
90,0.01,4200.0,36.1
100,0.01,4168.0,37.9
150,0.01,4168.0,47.6
200,0.02,4168.0,54.8
250,0.03,4196.0,59.1
300,0.04,4192.0,72.9
350,0.05,4192.0,69.2
400,0.07,4168.0,78.1
450,0.07,4168.0,68.9
500,0.08,4180.0,75.0
550,0.11,4192.0,84.2
600,0.11,3152.0,81.6
650,0.13,3108.0,87.4
700,0.15,4168.0,88.6
750,0.14,4172.0,74.9
800,0.16,4196.0,84.4
850,0.12,4192.0,59.1
900,0.16,4164.0,71.7
950,0.2,4168.0,85.9
1000,0.23,4192.0,92.6
