N,Time (s),Memory (KB),Passes
10,0.0,4168.0,10.0
20,0.0,4216.0,20.0
30,0.0,4216.0,30.0
40,0.0,4196.0,40.0
50,0.0,4180.0,50.0
60,0.01,4184.0,60.0
70,0.01,4168.0,70.0
80,0.01,4196.0,80.0
90,0.01,4168.0,90.0
100,0.02,3108.0,100.0
150,0.04,4196.0,150.0
200,0.08,4168.0,200.0
250,0.12,4180.0,250.0
300,0.19,4164.0,300.0
350,0.26,4168.0,350.0
400,0.35,3108.0,400.0
450,0.45,4192.0,450.0
500,0.55,4192.0,500.0
550,0.68,4168.0,550.0
600,0.83,3184.0,600.0
650,1.0,3108.0,650.0
700,1.17,3132.0,700.0
750,1.33,3104.0,750.0
800,1.51,3128.0,800.0
850,1.75,3136.0,850.0
900,1.98,3104.0,900.0
950,2.22,3108.0,950.0
1000,2.51,3108.0,1000.0
