N,Time (s),Memory (KB),Passes
10,0.0,4204.0,2.0
20,0.0,4212.0,3.0
30,0.0,4188.0,3.0
40,0.0,4224.0,3.0
50,0.0,4168.0,3.0
60,0.0,4192.0,3.0
70,0.0,4212.0,3.03
80,0.0,4168.0,3.02
90,0.0,4168.0,3.09
100,0.0,4180.0,3.15
150,0.0,4180.0,3.49
200,0.0,4196.0,3.57
250,0.0,4216.0,3.54
300,0.0,4180.0,3.65
350,0.0,4164.0,3.68
400,0.0,4168.0,3.71
450,0.0,4216.0,3.65
500,0.01,4168.0,3.73
550,0.01,3108.0,3.78
600,0.01,4176.0,3.76
650,0.01,4168.0,3.76
700,0.01,4196.0,3.62
750,0.01,4196.0,3.62
800,0.01,4168.0,3.7
850,0.01,4176.0,3.77
900,0.01,4168.0,3.6
950,0.01,4168.0,3.73
1000,0.01,5192.0,3.7
