N,Time (s),Memory (KB),Passes
10,0.0,4168.0,3.0
20,0.0,4168.0,3.0
30,0.0,4168.0,3.0
40,0.0,4168.0,3.0
50,0.0,4192.0,3.0
60,0.0,4168.0,3.1
70,0.0,4168.0,3.0
80,0.0,4168.0,3.0
90,0.0,4224.0,3.0
100,0.0,4184.0,3.0
150,0.0,4196.0,3.4
200,0.0,4196.0,3.1
250,0.0,4196.0,3.2
300,0.01,4168.0,3.1
350,0.0,4168.0,3.2
400,0.01,4180.0,3.1
450,0.01,4168.0,3.3
500,0.01,4176.0,3.1
550,0.01,4168.0,3.1
600,0.01,4216.0,3.4
650,0.01,4196.0,3.1
700,0.01,4196.0,3.0
750,0.01,4196.0,3.4
800,0.01,4168.0,3.3
850,0.01,4176.0,3.0
900,0.01,4168.0,3.1
950,0.01,4168.0,3.1
1000,0.01,4180.0,3.2
