N,Time (s),Memory (KB),Passes
10,0.0,4168.0,1.0
20,0.0,4164.0,1.0
30,0.0,4196.0,1.0
40,0.0,4168.0,2.0
50,0.0,4216.0,2.0
60,0.0,4216.0,2.0
70,0.0,4172.0,2.0
80,0.0,4196.0,2.0
90,0.0,4168.0,2.0
100,0.0,4168.0,2.0
150,0.0,4168.0,2.0
200,0.0,4168.0,2.0
250,0.0,4168.0,2.0
300,0.0,4168.0,2.2
350,0.0,4192.0,2.2
400,0.01,4168.0,2.4
450,0.0,4196.0,2.3
500,0.01,4188.0,2.5
550,0.01,4168.0,2.4
600,0.0,4164.0,2.3
650,0.01,4196.0,2.4
700,0.01,4168.0,2.5
750,0.01,4184.0,2.3
800,0.01,4168.0,2.3
850,0.01,4168.0,2.1
900,0.01,4168.0,2.2
950,0.01,4168.0,2.3
1000,0.01,5204.0,2.3
